R,M,P
0.04221677434853433,1.2878419993175088e-07,1.2972453829963342e+27
0.042622704871116385,1.3253481244287112e-07,1.297244197446749e+27
0.04302863539369845,1.3635754703737e-07,1.2972430005513891e+27
0.04343456591628051,1.402530905242029e-07,1.2972417923102973e+27
0.04384049643886258,1.4422212971039118e-07,1.2972405727235157e+27
0.04424642696144464,1.4826535140100436e-07,1.2972393417910857e+27
0.044652357484026704,1.5238344239914136e-07,1.2972380995130496e+27
0.04505828800660876,1.565770895059128e-07,1.2972368458894493e+27
0.04546421852919082,1.6084697952042232e-07,1.2972355809203258e+27
0.045870149051772884,1.6519379923974868e-07,1.2972343046057214e+27
0.046276079574354936,1.6961823545892725e-07,1.2972330169456768e+27
0.046682010096937,1.741209749709321e-07,1.2972317179402335e+27
0.04708794061951906,1.787027045666575e-07,1.2972304075894322e+27
0.04749387114210113,1.8336411103489972e-07,1.297229085893315e+27
0.04789980166468319,1.8810588116233894e-07,1.2972277528519224e+27
0.04830573218726524,1.9292870173352102e-07,1.2972264084652953e+27
0.04871166270984731,1.9783325953083894e-07,1.297225052733475e+27
0.04911759323242937,2.0282024133451513e-07,1.2972236856565024e+27
0.049523523755011435,2.0789033392258266e-07,1.2972223072344187e+27
0.04992945427759349,2.1304422407086744e-07,1.297220917467264e+27
0.050335384800175555,2.1828259855296976e-07,1.29721951635508e+27
0.050741315322757614,2.236061441402461e-07,1.2972181038979071e+27
0.051147245845339674,2.29015547601791e-07,1.297216680095787e+27
0.051553176367921734,2.3451149570441877e-07,1.29721524494876e+27
0.051959106890503794,2.400946752126451e-07,1.2972137984568676e+27
0.05236503741308586,2.457657728886691e-07,1.2972123406201505e+27
0.05277096793566792,2.5152547549235497e-07,1.2972108714386496e+27
0.05317689845824999,2.573744697812136e-07,1.2972093909124065e+27
0.05358282898083204,2.6331344251038456e-07,1.297207899041462e+27
0.0539887595034141,2.693430804326178e-07,1.2972063958258574e+27
0.054394690025996166,2.7546407029825544e-07,1.2972048812656336e+27
0.05480062054857822,2.816770988552136e-07,1.2972033553608334e+27
0.055206551071160286,2.8798285284896374e-07,1.2972018181114967e+27
0.055612481593742345,2.943820190225151e-07,1.2972002695176657e+27
0.05601841211632441,3.0087528411639606e-07,1.2971987095793819e+27
0.05642434263890647,3.074633348686359e-07,1.2971971382966872e+27
0.056830273161488525,3.1414685801474677e-07,1.2971955556696233e+27
0.05723620368407059,3.209265402877053e-07,1.2971939616982325e+27
0.05764213420665265,3.278030684179344e-07,1.297192356382556e+27
0.05804806472923472,3.347771291332852e-07,1.2971907397226363e+27
0.05845399525181677,3.418494091590184e-07,1.2971891117185158e+27
0.05885992577439884,3.4902059521778654e-07,1.2971874723702367e+27
0.0592658562969809,3.562913740296155e-07,1.2971858216778417e+27
0.05967178681956296,3.6366243231188626e-07,1.2971841596413732e+27
0.06007771734214502,3.7113445677931656e-07,1.2971824862608738e+27
0.060483647864727076,3.7870813414394323e-07,1.2971808015363872e+27
0.06088957838730914,3.8638415111510343e-07,1.297179105467955e+27
0.0612955089098912,3.941631943994163e-07,1.2971773980556207e+27
0.06170143943247327,4.0204595070076524e-07,1.2971756792994287e+27
0.06210736995505532,4.1003310672027914e-07,1.2971739491994213e+27
0.0625133004776374,4.1812534915631497e-07,1.2971722077556422e+27
0.06291923100021944,4.2632336470443855e-07,1.2971704549681355e+27
0.0633251615228015,4.3462784005740683e-07,1.2971686908369447e+27
0.06373109204538357,4.4303946190514976e-07,1.297166915362114e+27
0.06413702256796563,4.5155891693475193e-07,1.2971651285436873e+27
0.0645429530905477,4.601868918304343e-07,1.2971633303817092e+27
0.06494888361312975,4.689240732735359e-07,1.297161520876224e+27
0.06535481413571181,4.777711479424957e-07,1.2971597000272763e+27
0.06576074465829387,4.867288025128348e-07,1.297157867834911e+27
0.06616667518087593,4.957977236571369e-07,1.2971560242991734e+27
0.066572605703458,5.04978598045032e-07,1.2971541694201082e+27
0.06697853622604005,5.142721123431762e-07,1.2971523031977609e+27
0.06738446674862213,5.23678953215235e-07,1.2971504256321767e+27
0.06779039727120419,5.331998073218644e-07,1.297148536723402e+27
0.06819632779378625,5.428353613206926e-07,1.2971466364714817e+27
0.0686022583163683,5.52586301866302e-07,1.2971447248764624e+27
0.06900818883895037,5.624533156102103e-07,1.2971428019383902e+27
0.06941411936153243,5.72437089200854e-07,1.2971408676573113e+27
0.06982004988411449,5.825383092835682e-07,1.2971389220332727e+27
0.07022598040669654,5.927576625005692e-07,1.2971369650663206e+27
0.0706319109292786,6.030958354909367e-07,1.2971349967565022e+27
0.07103784145186068,6.135535148905948e-07,1.2971330171038646e+27
0.07144377197444272,6.241313873322942e-07,1.297131026108455e+27
0.07184970249702478,6.348301394455939e-07,1.297129023770321e+27
0.07225563301960686,6.45650457856843e-07,1.2971270100895103e+27
0.07266156354218892,6.565930291891622e-07,1.2971249850660707e+27
0.07306749406477098,6.67658540062426e-07,1.2971229487000505e+27
0.07347342458735304,6.788476770932448e-07,1.2971209009914978e+27
0.0738793551099351,6.901611268949448e-07,1.297118841940461e+27
0.07428528563251716,7.015995760775525e-07,1.2971167715469885e+27
0.07469121615509922,7.131637112477741e-07,1.2971146898111295e+27
0.07509714667768128,7.248542190089789e-07,1.297112596732933e+27
0.07550307720026334,7.366717859611802e-07,1.2971104923124488e+27
0.07590900772284541,7.486170987010167e-07,1.2971083765497258e+27
0.07631493824542747,7.606908438217361e-07,1.297106249444814e+27
0.07672086876800953,7.728937079131751e-07,1.2971041109977625e+27
0.07712679929059159,7.852263775617411e-07,1.297101961208622e+27
0.07753272981317365,7.976895393503952e-07,1.297099800077443e+27
0.07793866033575571,8.102838798586338e-07,1.2970976276042757e+27
0.07834459085833777,8.230100856624688e-07,1.2970954437891706e+27
0.07875052138091983,8.358688433344116e-07,1.2970932486321792e+27
0.07915645190350189,8.488608394434532e-07,1.2970910421333518e+27
0.07956238242608395,8.619867605550463e-07,1.2970888242927406e+27
0.079968312948666,8.752472932310883e-07,1.2970865951103968e+27
0.08037424347124807,8.886431240299008e-07,1.2970843545863717e+27
0.08078017399383013,9.021749395062142e-07,1.2970821027207182e+27
0.08118610451641219,9.158434262111463e-07,1.2970798395134873e+27
0.08159203503899425,9.296492706921872e-07,1.2970775649647324e+27
0.08199796556157632,9.435931594931788e-07,1.2970752790745063e+27
0.08240389608415838,9.57675779154297e-07,1.2970729818428606e+27
0.08280982660674044,9.71897816212035e-07,1.2970706732698492e+27
0.08321575712932248,9.862599571991829e-07,1.2970683533555252e+27
0.08362168765190454,1.0007628886448109e-06,1.2970660220999422e+27
0.08402761817448662,1.0154072970742509e-06,1.2970636795031534e+27
0.08443354869706868,1.0301938690090772e-06,1.2970613255652137e+27
0.08483947921965074,1.04512329096709e-06,1.2970589602861765e+27
0.0852454097422328,1.060196249462296e-06,1.2970565836660964e+27
0.08565134026481487,1.0754134310048902e-06,1.2970541957050277e+27
0.08605727078739693,1.090775522101238e-06,1.2970517964030252e+27
0.08646320130997899,1.106283209253857e-06,1.2970493857601444e+27
0.08686913183256104,1.1219371789613989e-06,1.2970469637764404e+27
0.0872750623551431,1.137738117718631e-06,1.2970445304519681e+27
0.08768099287772517,1.1536867120164178e-06,1.2970420857867838e+27
0.08808692340030723,1.1697836483417026e-06,1.2970396297809433e+27
0.08849285392288929,1.18602961317749e-06,1.2970371624345028e+27
0.08889878444547135,1.2024252930028285e-06,1.2970346837475186e+27
0.08930471496805342,1.218971374292789e-06,1.2970321937200467e+27
0.08971064549063548,1.2356685435184502e-06,1.2970296923521447e+27
0.09011657601321753,1.2525174871468788e-06,1.2970271796438697e+27
0.09052250653579959,1.2695188916411105e-06,1.2970246555952785e+27
0.09092843705838165,1.2866734434601335e-06,1.2970221202064288e+27
0.09133436758096372,1.3039818290588683e-06,1.297019573477378e+27
0.09174029810354578,1.3214447348881522e-06,1.2970170154081845e+27
0.09214622862612784,1.3390628473947178e-06,1.2970144459989068e+27
0.0925521591487099,1.3568368530211776e-06,1.2970118652496024e+27
0.09295808967129196,1.3747674382060037e-06,1.2970092731603303e+27
0.09336402019387403,1.3928552893835108e-06,1.2970066697311493e+27
0.09376995071645608,1.4111010929838384e-06,1.2970040549621192e+27
0.09417588123903814,1.4295055354329307e-06,1.2970014288532985e+27
0.0945818117616202,1.4480693031525196e-06,1.296998791404747e+27
0.09498774228420227,1.4667930825601075e-06,1.2969961426165248e+27
0.09539367280678433,1.4856775600689463e-06,1.2969934824886914e+27
0.09579960332936639,1.5047234220880222e-06,1.2969908110213076e+27
0.09620553385194845,1.5239313550220352e-06,1.2969881282144334e+27
0.0966114643745305,1.5433020452713822e-06,1.2969854340681294e+27
