xi: Dimensionless distance
theta: Dimensionless pressure T
M: Dimensionless mass M


xi	theta	M
0.001050000000000002	0.9999808039904791	4.84918176706946e-09
0.0010600000000000021	0.9999804364107977	4.9890476619411855e-09
0.0010700000000000022	0.9999800653465273	5.131577469932933e-09
0.0010800000000000022	0.9999796907976755	5.276796319286948e-09
0.0010900000000000022	0.9999793127642496	5.424729338160587e-09
0.0011000000000000022	0.9999789312462571	5.575401654625524e-09
0.0011100000000000023	0.9999785462437053	5.728838396666954e-09
0.0011200000000000023	0.9999781577566014	5.885064692182803e-09
0.0011300000000000023	0.9999777657849523	6.044105668982933e-09
0.0011400000000000023	0.9999773703287653	6.205986454788351e-09
0.0011500000000000024	0.9999769713880472	6.370732177230412e-09
0.0011600000000000024	0.9999765689628048	6.5383679638500295e-09
0.0011700000000000024	0.999976163053045	6.7089189420968796e-09
0.0011800000000000024	0.9999757536587744	6.88241023932861e-09
0.0011900000000000025	0.9999753407799998	7.058866982810043e-09
0.0012000000000000025	0.9999749244167278	7.238314299712388e-09
0.0012100000000000025	0.9999745045689646	7.420777317112441e-09
0.0012200000000000025	0.999974081236717	7.6062811619918e-09
0.0012300000000000026	0.9999736544199914	7.794850961236062e-09
0.0012400000000000026	0.9999732241187942	7.986511841634039e-09
0.0012500000000000026	0.9999727903331316	8.181288929876958e-09
0.0012600000000000027	0.9999723530630099	8.379207352557671e-09
0.0012700000000000027	0.9999719123084355	8.580292236169862e-09
0.0012800000000000027	0.9999714680694145	8.784568707107252e-09
0.0012900000000000027	0.999971020345953	8.992061891662807e-09
0.0013000000000000028	0.9999705691380572	9.202796916027944e-09
0.0013100000000000028	0.999970114445733	9.416798906291739e-09
0.0013200000000000028	0.9999696562689867	9.634092988440131e-09
0.0013300000000000028	0.9999691946078242	9.854704288355133e-09
0.0013400000000000029	0.9999687294622515	1.0078657931814035e-08
0.0013500000000000029	0.9999682608322744	1.0305979044488614e-08
0.001360000000000003	0.999967788717899	1.0536692751944337e-08
0.001370000000000003	0.9999673131191312	1.077082417963957e-08
0.001380000000000003	0.999966834035977	1.1008398452924789e-08
0.001390000000000003	0.999966351468442	1.1249440697041777e-08
0.001400000000000003	0.9999658654165322	1.1493976037122841e-08
0.001410000000000003	0.9999653758802534	1.174202959819001e-08
0.001420000000000003	0.9999648828596113	1.1993626505154247e-08
0.001430000000000003	0.9999643863546117	1.2248791882814657e-08
0.0014400000000000031	0.9999638863652606	1.2507550855857691e-08
0.0014500000000000032	0.9999633828915635	1.2769928548856352e-08
0.0014600000000000032	0.9999628759335262	1.3035950086269405e-08
0.0014700000000000032	0.9999623654911545	1.330564059244058e-08
0.0014800000000000032	0.999961851564454	1.3579025191597782e-08
0.0014900000000000033	0.9999613341534306	1.38561290078523e-08
0.0015000000000000033	0.9999608132580897	1.4136977165198004e-08
0.0015100000000000033	0.9999602888784372	1.4421594787510565e-08
0.0015200000000000033	0.9999597610144788	1.4710006998546652e-08
0.0015300000000000034	0.99995922966622	1.5002238921943142e-08
0.0015400000000000034	0.9999586948336665	1.529831568121633e-08
0.0015500000000000034	0.9999581565168241	1.5598262399761126e-08
0.0015600000000000034	0.9999576147156983	1.590210420085028e-08
0.0015700000000000035	0.9999570694302949	1.620986620763357e-08
0.0015800000000000035	0.9999565206606196	1.6521573543137018e-08
0.0015900000000000035	0.9999559684066778	1.683725133026209e-08
0.0016000000000000035	0.9999554126684752	1.7156924691784922e-08
0.0016100000000000036	0.9999548534460176	1.7480618750355502e-08
0.0016200000000000036	0.9999542907393106	1.7808358628496893e-08
0.0016300000000000036	0.9999537245483598	1.814016944860443e-08
0.0016400000000000037	0.9999531548731709	1.8476076332944942e-08
0.0016500000000000037	0.9999525817137495	1.8816104403655935e-08
0.0016600000000000037	0.9999520050701012	1.9160278782744824e-08
0.0016700000000000037	0.9999514249422318	1.9508624592088126e-08
0.0016800000000000038	0.9999508413301468	1.9861166953430666e-08
0.0016900000000000038	0.999950254233852	2.021793098838479e-08
0.0017000000000000038	0.9999496636533529	2.057894181842957e-08
0.0017100000000000038	0.9999490695886554	2.0944224564910013e-08
0.0017200000000000039	0.999948472039765	2.131380434903626e-08
0.0017300000000000039	0.9999478710066875	2.16877062918828e-08
0.001740000000000004	0.9999472664894284	2.2065955514387676e-08
0.001750000000000004	0.9999466584879937	2.2448577137351692e-08
0.001760000000000004	0.9999460470023889	2.283559628143762e-08
0.001770000000000004	0.9999454320326198	2.32270380671694e-08
0.001780000000000004	0.999944813578692	2.362292761493136e-08
0.001790000000000004	0.9999441916406114	2.4023290044967413e-08
0.001800000000000004	0.9999435662183837	2.442815047738027e-08
0.001810000000000004	0.9999429373120144	2.4837534032130637e-08
0.0018200000000000041	0.9999423049215096	2.525146582903644e-08
0.0018300000000000041	0.999941669046875	2.566997098777201e-08
0.0018400000000000042	0.9999410296881163	2.6093074627867306e-08
0.0018500000000000042	0.9999403868452392	2.6520801868707117e-08
0.0018600000000000042	0.9999397405182497	2.695317782953027e-08
0.0018700000000000043	0.9999390907071536	2.7390227629428832e-08
0.0018800000000000043	0.9999384374119565	2.7831976387347326e-08
0.0018900000000000043	0.9999377806326645	2.8278449222081928e-08
0.0019000000000000043	0.9999371203692833	2.8729671252279682e-08
0.0019100000000000044	0.9999364566218188	2.9185667596437704e-08
0.0019200000000000044	0.999935789390277	2.9646463372902392e-08
0.0019300000000000044	0.9999351186746637	3.0112083699868624e-08
0.0019400000000000044	0.9999344444749847	3.0582553695378974e-08
0.0019500000000000045	0.999933766791246	3.105789847732292e-08
0.0019600000000000043	0.9999330856234536	3.1538143163436036e-08
0.0019700000000000043	0.9999324009716134	3.202331287129922e-08
0.0019800000000000043	0.9999317128357313	3.251343271833789e-08
0.0019900000000000044	0.9999310212158135	3.3008527821821196e-08
0.0020000000000000044	0.9999303261118656	3.350862329886122e-08
0.0020100000000000044	0.9999296275238939	3.401374426641218e-08
0.0020200000000000044	0.9999289254519044	3.452391584126965e-08
0.0020300000000000045	0.9999282198959031	3.5039163140069765e-08
0.0020400000000000045	0.999927510855896	3.555951127928841e-08
0.0020500000000000045	0.9999267983318892	3.608498537524046e-08
0.0020600000000000045	0.9999260823238889	3.661561054407896e-08
0.0020700000000000046	0.999925362831901	3.7151411901794324e-08
0.0020800000000000046	0.9999246398559318	3.7692414564213587e-08
0.0020900000000000046	0.9999239133959874	3.8238643646999563e-08
0.0021000000000000046	0.9999231834520739	3.8790124265650084e-08
0.0021100000000000047	0.9999224500241974	3.934688153549718e-08
0.0021200000000000047	0.9999217131123643	3.990894057170632e-08
0.0021300000000000047	0.9999209727165808	4.0476326489275595e-08
0.0021400000000000047	0.9999202288368528	4.1049064403034926e-08
0.0021500000000000048	0.9999194814731869	4.1627179427645276e-08
0.002160000000000005	0.9999187306255892	4.2210696677597865e-08
0.002170000000000005	0.9999179762940661	4.2799641267213366e-08
0.002180000000000005	0.9999172184786237	4.339403831064111e-08
0.002190000000000005	0.9999164571792685	4.399391292185831e-08
0.002200000000000005	0.9999156923960066	4.4599290214669245e-08
0.002210000000000005	0.9999149241288446	4.5210195302704494e-08
0.002220000000000005	0.9999141523777889	4.582665329942011e-08
0.002230000000000005	0.9999133771428457	4.6448689318096855e-08
0.002240000000000005	0.9999125984240215	4.707632847183941e-08
0.002250000000000005	0.9999118162213226	4.770959587357555e-08
0.002260000000000005	0.9999110305347557	4.834851663605538e-08
0.002270000000000005	0.9999102413643272	4.899311587185054e-08
0.002280000000000005	0.9999094487100434	4.964341869335338e-08
0.002290000000000005	0.999908652571911	5.0299450212776235e-08
0.002300000000000005	0.9999078529499364	5.096123554215055e-08
0.002310000000000005	0.9999070498441264	5.162879979332615e-08
0.0023200000000000052	0.9999062432544873	5.230216807797042e-08
