R,M,P
0.09133436758096372,1.303965377195437e-06,1.2970195750087883e+27
0.09174029810354578,1.3214279135634392e-06,1.2970170169670765e+27
0.09214622862612784,1.339045650001007e-06,1.297014447585648e+27
0.0925521591487099,1.356819272862522e-06,1.297011866864565e+27
0.09295808967129196,1.3747494684974447e-06,1.2970092748038893e+27
0.09336402019387403,1.392836923250293e-06,1.2970066714036824e+27
0.09376995071645608,1.4110823234606208e-06,1.2970040566640076e+27
0.09417588123903814,1.4294863554629945e-06,1.2970014305849273e+27
0.0945818117616202,1.4480497055869743e-06,1.296998793166504e+27
0.09498774228420227,1.4667730601570886e-06,1.296996144408801e+27
0.09539367280678433,1.4856571054928173e-06,1.296993484311882e+27
0.09579960332936639,1.5047025279085654e-06,1.2969908128758107e+27
0.09620553385194845,1.5239100137136442e-06,1.2969881301006508e+27
0.0966114643745305,1.5432802492122482e-06,1.296985435986466e+27
0.09701739489711259,1.5628139207034356e-06,1.2969827305333214e+27
0.09742332541969463,1.5825117144811029e-06,1.2969800137412813e+27
0.09782925594227669,1.6023743168339674e-06,1.2969772856104105e+27
0.09823518646485875,1.6224024140455418e-06,1.2969745461407743e+27
0.09864111698744081,1.6425966923941158e-06,1.2969717953324377e+27
0.09904704751002288,1.6629578381527318e-06,1.2969690331854669e+27
0.09945297803260494,1.6834865375891648e-06,1.2969662596999272e+27
0.099858908555187,1.7041834769659006e-06,1.2969634748758856e+27
0.10026483907776905,1.725049342540113e-06,1.2969606787134076e+27
0.10067076960035114,1.746084820563644e-06,1.2969578712125599e+27
0.10107670012293318,1.7672905972829798e-06,1.296955052373409e+27
0.10148263064551524,1.788667358939231e-06,1.2969522221960236e+27
0.1018885611680973,1.8102157917681118e-06,1.2969493806804697e+27
0.10229449169067936,1.831936581999915e-06,1.2969465278268154e+27
0.10270042221326144,1.8538304158594926e-06,1.2969436636351278e+27
0.1031063527358435,1.8758979795662344e-06,1.296940788105476e+27
0.10351228325842556,1.8981399593340447e-06,1.2969379012379282e+27
0.1039182137810076,1.9205570413713238e-06,1.2969350030325526e+27
0.10432414430358966,1.9431499118809405e-06,1.2969320934894183e+27
0.10473007482617173,1.965919257060218e-06,1.2969291726085945e+27
0.1051360053487538,1.9888657631009063e-06,1.2969262403901508e+27
0.10554193587133585,2.0119901161891625e-06,1.2969232968341562e+27
0.10594786639391791,2.0352930025055296e-06,1.296920341940681e+27
0.10635379691649999,2.0587751082249148e-06,1.2969173757097953e+27
0.10675972743908205,2.0824371195165675e-06,1.2969143981415693e+27
0.10716565796166411,2.1062797225440573e-06,1.2969114092360738e+27
0.10757158848424615,2.130303603465253e-06,1.29690840899338e+27
0.10797751900682821,2.1545094484323005e-06,1.296905397413558e+27
0.10838344952941029,2.1788979435916003e-06,1.2969023744966806e+27
0.10878938005199235,2.2034697750837884e-06,1.2968993402428184e+27
0.1091953105745744,2.228225629043713e-06,1.2968962946520435e+27
0.10960124109715647,2.253166191600411e-06,1.2968932377244286e+27
0.11000717161973854,2.27829214887709e-06,1.2968901694600458e+27
0.1104131021423206,2.3036041869911048e-06,1.2968870898589676e+27
0.11081903266490266,2.3291029920539354e-06,1.2968839989212667e+27
0.1112249631874847,2.3547892501711647e-06,1.2968808966470167e+27
0.11163089371006676,2.38066364744246e-06,1.296877783036291e+27
0.11203682423264884,2.406726869961547e-06,1.2968746580891635e+27
0.1124427547552309,2.432979603816192e-06,1.2968715218057077e+27
0.11284868527781296,2.459422535088179e-06,1.2968683741859982e+27
0.11325461580039502,2.4860563498532846e-06,1.2968652152301089e+27
0.11366054632297708,2.5128817341812643e-06,1.2968620449381144e+27
0.11406647684555915,2.5398993741358214e-06,1.2968588633100908e+27
0.1144724073681412,2.567109955774592e-06,1.2968556703461125e+27
0.11487833789072326,2.594514165149121e-06,1.296852466046255e+27
0.11528426841330532,2.622112688304839e-06,1.296849250410594e+27
0.11569019893588739,2.649906211281047e-06,1.296846023439206e+27
0.11609612945846945,2.6778954201108844e-06,1.2968427851321666e+27
0.11650205998105151,2.706081000821316e-06,1.2968395354895524e+27
0.11690799050363357,2.7344636394331076e-06,1.2968362745114406e+27
0.11731392102621563,2.7630440219608026e-06,1.2968330021979074e+27
0.1177198515487977,2.7918228344127017e-06,1.2968297185490308e+27
0.11812578207137975,2.820800762790844e-06,1.2968264235648884e+27
0.11853171259396181,2.849978493090979e-06,1.2968231172455573e+27
0.11893764311654387,2.8793567113025522e-06,1.2968197995911156e+27
0.11934357363912593,2.9089361034086777e-06,1.2968164706016425e+27
0.119749504161708,2.9387173553861186e-06,1.2968131302772156e+27
0.12015543468429006,2.968701153205267e-06,1.2968097786179142e+27
0.12056136520687212,2.998888182830119e-06,1.296806415623817e+27
0.12096729572945417,3.0292791302182574e-06,1.2968030412950037e+27
0.12137322625203625,3.059874681320824e-06,1.296799655631554e+27
0.1217791567746183,3.0906755220825042e-06,1.2967962586335476e+27
0.12218508729720036,3.121682338441503e-06,1.2967928503010637e+27
0.12259101781978242,3.1528958163295212e-06,1.2967894306341836e+27
0.12299694834236448,3.1843166416717355e-06,1.2967859996329882e+27
0.12340287886494655,3.215945500386778e-06,1.2967825572975572e+27
0.12380880938752861,3.247783078386711e-06,1.2967791036279727e+27
0.12421473991011067,3.2798300615770137e-06,1.296775638624316e+27
0.12462067043269272,3.3120871358565464e-06,1.2967721622866686e+27
0.1250266009552748,3.3445549871175436e-06,1.296768674615112e+27
0.12543253147785685,3.377234301245583e-06,1.296765175609729e+27
0.1258384620004389,3.410125764119566e-06,1.296761665270602e+27
0.12624439252302097,3.443230061611699e-06,1.296758143597813e+27
0.12665032304560303,3.4765478795874663e-06,1.2967546105914456e+27
0.1270562535681851,3.5100799039056134e-06,1.2967510662515828e+27
0.12746218409076715,3.543826820418126e-06,1.296747510578308e+27
0.1278681146133492,3.5777893149702016e-06,1.2967439435717045e+27
0.12827404513593127,3.611968073400234e-06,1.2967403652318566e+27
0.12867997565851333,3.6463637815397897e-06,1.296736775558849e+27
0.12908590618109542,3.680977125213586e-06,1.2967331745527655e+27
0.12949183670367748,3.7158087902394706e-06,1.2967295622136916e+27
0.1298977672262595,3.750859462428398e-06,1.2967259385417116e+27
0.13030369774884157,3.786129827584409e-06,1.296722303536911e+27
0.13070962827142363,3.821620571504611e-06,1.2967186571993758e+27
0.13111555879400572,3.85733237997915e-06,1.296714999529191e+27
0.13152148931658778,3.893265938791196e-06,1.2967113305264427e+27
0.13192741983916983,3.92942193371692e-06,1.296707650191218e+27
0.1323333503617519,3.965801050525468e-06,1.2967039585236024e+27
0.13273928088433395,4.002403974978943e-06,1.2967002555236836e+27
0.13314521140691601,4.039231392832384e-06,1.2966965411915485e+27
0.13355114192949807,4.076283989833742e-06,1.296692815527284e+27
0.13395707245208013,4.11356245172386e-06,1.2966890785309783e+27
0.1343630029746622,4.151067464236447e-06,1.296685330202719e+27
0.13476893349724425,4.188799713098068e-06,1.296681570542594e+27
0.1351748640198263,4.226759884028107e-06,1.296677799550692e+27
0.13558079454240837,4.2649486627387535e-06,1.2966740172271018e+27
0.13598672506499043,4.303366734934985e-06,1.296670223571911e+27
0.13639265558757252,4.342014786314536e-06,1.2966664185852105e+27
0.13679858611015458,4.380893502567882e-06,1.296662602267089e+27
0.1372045166327366,4.420003569378216e-06,1.2966587746176364e+27
0.13761044715531867,4.45934567242143e-06,1.296654935636942e+27
0.13801637767790073,4.498920497366088e-06,1.2966510853250966e+27
0.13842230820048282,4.5387287298734085e-06,1.2966472236821905e+27
0.13882823872306488,4.578771055597243e-06,1.2966433507083143e+27
0.13923416924564694,4.61904816018405e-06,1.2966394664035596e+27
0.139640099768229,4.659560729272878e-06,1.2966355707680168e+27
0.14004603029081103,4.700309448495342e-06,1.296631663801778e+27
0.14045196081339312,4.741295003475603e-06,1.2966277455049343e+27
0.14085789133597518,4.782518079830342e-06,1.2966238158775788e+27
0.14126382185855724,4.823979363168745e-06,1.2966198749198027e+27
0.1416697523811393,4.865679539092477e-06,1.296615922631699e+27
0.14207568290372136,4.907619293195661e-06,1.2966119590133613e+27
0.14248161342630342,4.9497993110648575e-06,1.296607984064881e+27
0.14288754394888548,4.992220278279043e-06,1.2966039977863523e+27
0.14329347447146754,5.034882880409584e-06,1.2966000001778694e+27
0.1436994049940496,5.0777878030202236e-06,1.2965959912395252e+27
0.14410533551663168,5.120935731667053e-06,1.2965919709714144e+27
0.14451126603921371,5.164327351898488e-06,1.2965879393736312e+27
0.14491719656179577,5.207963349255259e-06,1.29658389644627e+27
0.14532312708437783,5.251844409270377e-06,1.296579842189426e+27
0.1457290576069599,5.295971217469117e-06,1.2965757766031937e+27
0.14613498812954198,5.340344459368994e-06,1.2965716996876693e+27
0.14654091865212404,5.384964820479749e-06,1.2965676114429487e+27
0.1469468491747061,5.429832986303317e-06,1.2965635118691274e+27
0.14735277969728813,5.4749496423338125e-06,1.296559400966301e+27
0.14775871021987022,5.520315474057505e-06,1.2965552787345672e+27
0.14816464074245228,5.565931166952795e-06,1.2965511451740215e+27
0.14857057126503434,5.611797406490199e-06,1.296547000284762e+27
0.1489765017876164,5.657914878132324e-06,1.296542844066885e+27
0.14938243231019846,5.704284267333842e-06,1.2965386765204885e+27
0.14978836283278052,5.750906259541475e-06,1.2965344976456706e+27
0.15019429335536258,5.797781540193972e-06,1.2965303074425286e+27
0.15060022387794464,5.844910794722084e-06,1.2965261059111612e+27
0.1510061544005267,5.892294708548543e-06,1.296521893051667e+27
0.15141208492310876,5.939933967088047e-06,1.2965176688641445e+27
0.15181801544569082,5.987829255747224e-06,1.2965134333486935e+27
0.15222394596827288,6.035981259924627e-06,1.2965091865054123e+27
0.15262987649085494,6.084390665010705e-06,1.296504928334401e+27
0.153035807013437,6.133058156387778e-06,1.29650065883576e+27
0.15344173753601908,6.181984419430018e-06,1.2964963780095887e+27
0.15384766805860114,6.23117013950343e-06,1.2964920858559877e+27
0.15425359858118318,6.280616001965826e-06,1.2964877823750575e+27
0.15465952910376524,6.330322692166811e-06,1.2964834675668993e+27
0.1550654596263473,6.380290895447745e-06,1.2964791414316145e+27
0.15547139014892938,6.430521297141749e-06,1.2964748039693035e+27
0.15587732067151144,6.481014582573648e-06,1.296470455180069e+27
0.1562832511940935,6.531771437059983e-06,1.2964660950640126e+27
0.15668918171667556,6.582792545908967e-06,1.2964617236212368e+27
0.15709511223925762,6.634078594420474e-06,1.2964573408518435e+27
0.15750104276183968,6.685630267886007e-06,1.2964529467559362e+27
0.15790697328442174,6.737448251588696e-06,1.2964485413336172e+27
0.1583129038070038,6.789533230803254e-06,1.29644412458499e+27
0.15871883432958583,6.841885890795968e-06,1.2964396965101588e+27
0.1591247648521679,6.894506916824678e-06,1.2964352571092262e+27
0.15953069537474993,6.947396994138744e-06,1.296430806382297e+27
0.15993662589733199,7.000556807979044e-06,1.2964263443294753e+27
0.16034255641991402,7.0539870435779274e-06,1.296421870950866e+27
0.16074848694249608,7.107688386159219e-06,1.2964173862465735e+27
0.1611544174650781,7.161661520938175e-06,1.2964128902167033e+27
0.16156034798766014,7.215907133121477e-06,1.2964083828613602e+27
0.16196627851024217,7.270425907907209e-06,1.2964038641806505e+27
0.16237220903282423,7.325218530484821e-06,1.2963993341746796e+27
0.1627781395554063,7.380285686035126e-06,1.2963947928435543e+27
0.16318407007798832,7.435628059730266e-06,1.29639024018738e+27
0.16359000060057036,7.4912463367336965e-06,1.2963856762062643e+27
0.16399593112315242,7.547141202200165e-06,1.2963811009003138e+27
0.16440186164573445,7.603313341275686e-06,1.2963765142696353e+27
0.1648077921683165,7.659763439097517e-06,1.2963719163143368e+27
0.16521372269089854,7.716492180794149e-06,1.2963673070345256e+27
0.16561965321348057,7.773500251485266e-06,1.2963626864303107e+27
0.16602558373606263,7.830788336281743e-06,1.296358054501799e+27
0.1664315142586447,7.888357120285612e-06,1.2963534112490998e+27
0.1668374447812267,7.94620728859004e-06,1.2963487566723217e+27
0.16724337530380876,8.00433952627932e-06,1.2963440907715737e+27
